Temperature,Frequency,Storage Modulus
120,0.943,15.697
120,1.06,16.081
120,1.19,16.49
120,1.34,16.895
120,1.51,17.322
120,1.7,17.752
120,1.91,18.2
120,2.15,18.661
120,2.42,19.134
120,2.73,19.629
120,3.07,20.137
120,3.46,20.67
120,3.89,21.229
120,4.38,21.81
120,4.92,22.431
120,5.54,23.093
120,6.24,23.807
120,7.02,24.59
120,7.9,25.153
120,8.89,26.005
120,10,26.937
